Old Name,New Name
EN-EN-30-US-JAYZCOURT-221015.zip,EN-EG-US_JAYZCOURT-221015.zip
EN-EN-30-US-OREGONWILDFIRES-180815-TW.zip,EN-EG-US_OREGONWILDFIRES-180815.zip
EN-EN-30-US-UTAHFLOODS-160915.zip,EN-EG-US_UTAHFLOODS-160915.zip
EN-EN-EGYPT-CAIROBOMB-200815.zip,EN-EG-EGYPT_CAIROBOMB-200815.zip
EN-EN-FLORIDASINKHOLE-200815.zip,EN-EG-FLORIDASINKHOLE-200815.zip
EN-EN-RT-BALFOURPTC-311017.zip,EN-EG-BALFOURPTC-311017.zip
EN-EN-SHORT-MALALA-SYRIASCHOOL-ANIS-120715.zip,EN-EG-SYRIA_MALALASCHOOLANIS-120715.zip
EN-EN-SYRIA-ISISBURQA-SAKHR-110615-TW.zip,EN-EG-SYRIA_ISISBURQASAKHR-110615.zip
EN-PL-VJ-CHILDLABOR-110615.zip,EN-NG-CHILDLABOR-110615.zip
EN-PL-VJ-EU-MIGRANTS-SAKHR-050515.zip,EN-NG-EUMIGRANTSSAKHR-050515.zip
EN-PL-VJ-EUROMIGRATION-CHANNELCROSSER-HOLMES-120815.zip,EN-NG-EUROMIGRATIONCHANNELCROSSERHOLMES-120815.zip
EN-PL-VJ-GAYRELIGIOUS-SAKHR-140615.zip,EN-NG-GAYRELIGIOUSSAKHR-140615.zip
EN-PL-VJ-GAZAEXAMS-ODGAARD.zip,EN-NG-GAZA_EXAMSODGAARD-010116.zip
EN-PL-VJ-GAZAMUSIC-RAMADAN.zip,EN-NG-GAZA_MUSICRAMADAN-010116.zip
EN-PL-VJ-GAZAWATERCRICIS-DICENZO-190515.zip,EN-NG-GAZA_WATERCRICISDICENZO-190515.zip
EN-PL-VJ-HONGKONG-HOCKEY-TABISH-100515.zip,EN-NG-HONGKONGHOCKEYTABISH-100515.zip
EN-PL-VJ-IRAQ-REFUGEEART-DICENZO-180615.zip,EN-NG-IRAQ_REFUGEEARTDICENZO-180615.zip
EN-PL-VJ-JORDAN-DAILYSHOW-THOMPSON.zip,EN-NG-JORDAN_DAILYSHOWTHOMPSON-010116.zip
EN-PL-VJ-KENYA-TRASHGLASSES-MUKAI.zip,EN-NG-KENYA_TRASHGLASSESMUKAI-010116.zip
EN-PL-VJ-NEPAL-TOURRELIEF-MOSCA.zip,EN-NG-NEPAL_TOURRELIEFMOSCA-010116.zip
EN-PL-VJ-NEPALFIGHTSBACK-BHANDARI.zip,EN-NG-NEPAL_FIGHTSBACKBHANDARI-010116.zip
EN-PL-VJ-OKINAWA-HERRERA-170515.zip,EN-NG-OKINAWAHERRERA-170515.zip
EN-RT-60-LEBANON-NAKEDPHOTOS-XXXXX.zip,EN-RT-LEBANON_NAKEDPHOTOS-010116.zip
EN-RT-60-NAPALMGIRL-LASERTREATMENT-261015.zip,EN-RT-NAPALMGIRLLASERTREATMENT-261015.zip
EN-RT-60-UKRAINE-BLACKSEATS-271015.zip,EN-RT-UKRAINE_BLACKSEATS-271015.zip
EN-RT-SHORT-AFGHANISTAN-MARATHON-181015.zip,EN-RT-AFGHANISTAN_MARATHON-181015.zip
EN-RT-SHORT-AUSTRALIA-SOLARCAR-181015.zip,EN-RT-AUSTRALIA_SOLARCAR-181015.zip
EN-RT-SHORT-GUATEMALA-MUDSLIDE-041015.zip,EN-RT-GUATEMALA_MUDSLIDE-041015.zip
EN-RT-SHORT-INDIA-LEOPARDBUCKET-011015.zip,EN-RT-INDIA_LEOPARDBUCKET-011015.zip
EN-RT-SHORT-JOHNLENNON-PEACESIGN-071015.zip,EN-RT-JOHNLENNONPEACESIGN-071015.zip
EN-RT-SHORT-PERU-BULLCROWD-211015.zip,EN-RT-PERU_BULLCROWD-211015.zip
EN-RT-SHORT-SCAROLINAFLOOD-RESCUE-051015.zip,EN-RT-SCAROLINAFLOODRESCUE-051015.zip
EN-RT-SHORT-TURKEY-POLICEBRUTALITY-061015.zip,EN-RT-TURKEY_POLICEBRUTALITY-061015.zip
EN-RT-VJ-GREECE-VOLUNTEERLIFEGUARDS.zip,EN-NG-GREECE_VOLUNTEERLIFEGUARDS-010116.zip
RT-60-AFGHANISTAN-CHILDSMUGGLING-110216.zip,EN-RT-AFGHANISTAN_CHILDSMUGGLING-110216.zip
RT-60-AUSTRALIA-DEFINEABORIGINAL-301116.zip,EN-RT-AUSTRALIA_DEFINEABORIGINAL-301116.zip
RT-60-BRAZIL-RECORDKILLINGS-240716.zip,EN-RT-BRAZIL_RECORDKILLINGS-240716.zip
RT-60-CHINA-HIGHBEAMS-031116.zip,EN-RT-CHINA_HIGHBEAMS-031116.zip
RT-60-ELECTIONS-TRUMPABORTION-310316.zip,EN-RT-ELECTIONSTRUMPABORTION-310316.zip
RT-60-FRANCE-DISCREETMUSLIM-170816.zip,EN-RT-FRANCE_DISCREETMUSLIM-170816.zip
RT-60-FRANCE-MISSFRANCE-261216.zip,EN-RT-FRANCE_MISSFRANCE-261216.zip
RT-60-FRANCE-RACISTRESTAURANT-290816.zip,EN-RT-FRANCE_RACISTRESTAURANT-290816.zip
RT-60-FRANCE-REFUGEESEVACUATION-050516.zip,EN-RT-FRANCE_REFUGEESEVACUATION-050516.zip
RT-60-FRANCE-TVSEXUALASSAULT-111216.zip,EN-RT-FRANCE_TVSEXUALASSAULT-111216.zip
RT-60-GREECE-PEACESIGN-040116.zip,EN-RT-GREECE_PEACESIGN-040116.zip
RT-60-HAITI-TOILETCLEANERS-291216.zip,EN-RT-HAITI_TOILETCLEANERS-291216.zip
RT-60-JAPAN-MAKEUP-TRAIN-301016.zip,EN-RT-JAPAN_MAKEUPTRAIN-301016.zip
RT-60-JAPAN-MUSLIM-FASHION-231116.zip,EN-RT-JAPAN_MUSLIMFASHION-231116.zip
RT-60-JAPAN-PREGNANTMEN-021016.zip,EN-RT-JAPAN_PREGNANTMEN-021016.zip
RT-60-MADAGASGAR-CODINGBUS.zip,EN-RT-MADAGASGARCODINGBUS-010116.zip
RT-60-MEXICO-SCORPIONNAILS-191016.zip,EN-RT-MEXICO_SCORPIONNAILS-191016.zip
RT-60-MEXICO-SNAKESONAPLANE-081116.zip,EN-RT-MEXICO_SNAKESONAPLANE-081116.zip
RT-60-NEWZEALAND-BRAVEGIRL-070916.zip,EN-RT-NEWZEALANDBRAVEGIRL-070916.zip
RT-60-NICARAGUA-CANAL-021116.zip,EN-RT-NICARAGUA_CANAL-021116.zip
RT-60-PAKISTAN-CHAIWALA-191016.zip,EN-RT-PAKISTAN_CHAIWALA-191016.zip
RT-60-PALESTINE-TEENKILLED-170816.zip,EN-RT-PALESTINE_TEENKILLED-170816.zip
RT-60-PERU-BRAINMUSEUM-271216.zip,EN-RT-PERU_BRAINMUSEUM-271216.zip
RT-60-PERU-DRUGBUSTINGSANTA-181216.zip,EN-RT-PERU_DRUGBUSTINGSANTA-181216.zip
RT-60-PHILIPPINES-DUTERTEKILLS-291216.zip,EN-RT-PHILIPPINES_DUTERTEKILLS-291216.zip
RT-60-PHILIPPINES-TYPHOON-261216.zip,EN-RT-PHILIPPINES_TYPHOON-261216.zip
RT-60-RNC-THIRDEYEBLIND-210716.zip,EN-RT-RNCTHIRDEYEBLIND-210716.zip
RT-60-RUSSIA-BEARCRUELTY-281216.zip,EN-RT-RUSSIA_BEARCRUELTY-281216.zip
RT-60-RUSSIA-CATMONKEY-250816.zip,EN-RT-RUSSIA_CATMONKEY-250816.zip
RT-60-SAUDI-CLEANERGOLD-061216.zip,EN-RT-SAUDI_CLEANERGOLD-061216.zip
RT-60-SCOTLAND-CELTICPALESTINEFLAG-170816.zip,EN-RT-SCOTLANDCELTICPALESTINEFLAG-170816.zip
RT-60-SEATTLE-SHOOTING-230216.zip,EN-RT-SEATTLESHOOTING-230216.zip
RT-60-SWEDEN-REFUGEEBEATEN-210716.zip,EN-RT-SWEDEN_REFUGEEBEATEN-210716.zip
RT-60-SYRIA-ALEPPOBOXING-260116.zip,EN-RT-SYRIA_ALEPPOBOXING-260116.zip
RT-60-SYRIA-ALEPPOKID-180616.zip,EN-RT-SYRIA_ALEPPOKID-180616.zip
RT-60-SYRIA-ALIDAQNEESH-220816.zip,EN-RT-SYRIA_ALIDAQNEESH-220816.zip
RT-60-SYRIA-TIREFIRE-301016.zip,EN-RT-SYRIA_TIREFIRE-301016.zip
RT-60-TAIWAN-BABYAPP-050116.zip,EN-RT-TAIWAN_BABYAPP-050116.zip
RT-60-TECH-BLUEFIRE-080816.zip,EN-RT-TECHBLUEFIRE-080816.zip
RT-60-THAILAND-COW-POOP-ELECTRICITY-080816.zip,EN-RT-THAILAND_COWPOOPELECTRICITY-080816.zip
RT-60-UK-BABYGORILLA-240216.zip,EN-RT-UK_BABYGORILLA-240216.zip
RT-60-UK-LONDONBUSEXPLODE-080216.zip,EN-RT-UK_LONDONBUSEXPLODE-080216.zip
RT-60-UK-SHOPBURNED-300616.zip,EN-RT-UK_SHOPBURNED-300616.zip
RT-60-US-ANTHEMKNEEL-231016.zip,EN-RT-US_ANTHEMKNEEL-231016.zip
RT-60-US-ANTITRUMPNEW-091116.zip,EN-RT-US_ANTITRUMPNEW-091116.zip
RT-60-US-CHARLOTTEGIRL-280916.zip,EN-RT-US_CHARLOTTEGIRL-280916.zip
RT-60-US-CIATWEETS-020516.zip,EN-RT-US_CIATWEETS-020516.zip
RT-60-US-CITIZENSHIP-181016.zip,EN-RT-US_CITIZENSHIP-181016.zip
RT-60-US-CLIFFPROPOSAL-100416.zip,EN-RT-US_CLIFFPROPOSAL-100416.zip
RT-60-US-COOPERITV-150616.zip,EN-RT-US_COOPERITV-150616.zip
RT-60-US-COPGIRLBIKE-160516.zip,EN-RT-US_COPGIRLBIKE-160516.zip
RT-60-US-DAPLDOGS-050916.zip,EN-RT-US_DAPLDOGS-050916.zip
RT-60-US-DCCOPPIN-170816.zip,EN-RT-US_DCCOPPIN-170816.zip
RT-60-US-DENIROTRUMP-091016.zip,EN-RT-US_DENIROTRUMP-091016.zip
RT-60-US-DRONEPAYMENTS-XXXXXX.zip,EN-RT-US_DRONEPAYMENTS-010116.zip
RT-60-US-DROWNEDGOAT-200716.zip,EN-RT-US_DROWNEDGOAT-200716.zip
RT-60-US-GARDENCITYPLOT-161016.zip,EN-RT-US_GARDENCITYPLOT-161016.zip
RT-60-US-KAEPERNICKSITS-280816.zip,EN-RT-US_KAEPERNICKSITS-280816.zip
RT-60-US-LAPDSHOOTING-041016.zip,EN-RT-US_LAPDSHOOTING-041016.zip
RT-60-US-LONDONISLAMIC-061216.zip,EN-RT-US_LONDONISLAMIC-061216.zip
RT-60-US-METROMAN-251016.zip,EN-RT-US_METROMAN-251016.zip
RT-60-US-NIQABSHOP-040816.zip,EN-RT-US_NIQABSHOP-040816.zip
RT-60-US-NOPANTS-010816.zip,EN-RT-US_NOPANTS-010816.zip
RT-60-US-NUDE-CLINTON-STATUE-251016.zip,EN-RT-US_NUDECLINTONSTATUE-251016.zip
RT-60-US-ORIGAMIROBOT-190716.zip,EN-RT-US_ORIGAMIROBOT-190716.zip
RT-60-US-ROBBERSLOCKED-240816.zip,EN-RT-US_ROBBERSLOCKED-240816.zip
RT-60-US-SUPERHEROFUNERAL-061016.zip,EN-RT-US_SUPERHEROFUNERAL-061016.zip
RT-60-US-SYRIANKIDINCONGRESS-130116.zip,EN-RT-US_SYRIANKIDINCONGRESS-130116.zip
RT-60-US-TRUMPVBALDWIN-211116.zip,EN-RT-US_TRUMPVBALDWIN-211116.zip
RT-60-US-TRUMPVOTETRICKS-071116.zip,EN-RT-US_TRUMPVOTETRICKS-071116.zip
RT-60-US-UNDERWATERMUSEUM-040416.zip,EN-RT-US_UNDERWATERMUSEUM-040416.zip
RT-60-US-VERARUBIN-271216.zip,EN-RT-US_VERARUBIN-271216.zip
RT-60-US-VIRGINIAMEETSOBAMA-220216.zip,EN-RT-US_VIRGINIAMEETSOBAMA-220216.zip
RT-60-US-WESTPOINTGRAD-26052016.zip,EN-RT-US_WESTPOINTGRAD-260516.zip
RT-60-US-WILDFIRES-TENNESSEE-301116.zip,EN-RT-US_WILDFIRESTENNESSEE-301116.zip
RT-60-WHITESBORO-OFFENSIVESEAL-110116.zip,EN-RT-WHITESBOROOFFENSIVESEAL-110116.zip
RT-60-YEMEN-STARVINGART-241016.zip,EN-RT-YEMEN_STARVINGART-241016.zip
RT-CARD-US-NYCEXPLOSION-160916.zip,EN-RT-US_CARDNYCEXPLOSION-160916.zip
RT-RAW-EGYPT-CHURCHBLAST-111216.zip,EN-RT-EGYPT_RAWCHURCHBLAST-111216.zip
RT-RAW-KABUL-GUNFIGHT-010816.zip,EN-RT-RAWKABULGUNFIGHT-010816.zip
RT-SHORT-CHINA-BOYTRUCK-251216.zip,EN-RT-CHINA_BOYTRUCK-251216.zip
RT-SHORT-ELECTION-INTROS-070216.zip,EN-RT-ELECTIONINTROS-070216.zip
RT-SHORT-ELECTIONS-RUBIOAD-170216.zip,EN-RT-ELECTIONSRUBIOAD-170216.zip
RT-SHORT-ITALY-KITTEN-080816.zip,EN-RT-ITALY_KITTEN-080816.zip
RT-SHORT-JAPAN-ICEBATH-100116.zip,EN-RT-JAPAN_ICEBATH-100116.zip
RT-SHORT-OLYMPICS-BODYSHAMING-100816.zip,EN-RT-OLYMPICSBODYSHAMING-100816.zip
RT-SHORT-RUSSIA-ICEDIVE-080316.zip,EN-RT-RUSSIA_ICEDIVE-080316.zip
RT-SHORT-SINGAPORE-CATRESCUE-051016.zip,EN-RT-SINGAPORE_CATRESCUE-051016.zip
RT-SHORT-SYRIA-DOCTORMESSAGE-111016.zip,EN-RT-SYRIA_DOCTORMESSAGE-111016.zip
