Old Name,New Name
EN-RT-60-PALESTINE-BODYBUILDER-030915.zip,EN-RT-PALESTINE_BODYBUILDER-030915.zip
EN-RT-60-PALESTINE-MARATHON-SAKHR-290315.zip,EN-RT-PALESTINE_MARATHONSAKHR-290315.zip
EN-RT-60-PALESTINE-NETANYAHUELEXREACTIONS-SAKHR-230315.zip,EN-RT-PALESTINE_NETANYAHUELEXREACTIONSSAKHR-230315.zip
EN-RT-60-PALESTINE-PRICETAG-SAKHR-150415.zip,EN-RT-PALESTINE_PRICETAGSAKHR-150415.zip
EN-RT-60-PALESTINE-RAP-SAKHR-160415.zip,EN-RT-PALESTINE_RAPSAKHR-160415.zip
EN-RT-60-PERU-COCAINESMUGGLERS-TABISH-070515.zip,EN-RT-PERU_COCAINESMUGGLERSTABISH-070515.zip
EN-RT-60-POLICEBRUTALITY-SKIDROWSHOOTING-TAREK-020315.zip,EN-RT-POLICEBRUTALITYSKIDROWSHOOTINGTAREK-020315.zip
EN-RT-60-RESISTANCEART-BANKSYGAZA-ZACH-260215.zip,EN-RT-RESISTANCEARTBANKSYGAZAZACH-260215.zip
EN-RT-60-RUSSIA-MH17FAKE-130815.zip,EN-RT-RUSSIA_MH17FAKE-130815.zip
EN-RT-60-RUSSIA-NEMTSOVKILLED-TAREK-010315.zip,EN-RT-RUSSIA_NEMTSOVKILLEDTAREK-010315.zip
EN-RT-60-SA-BASHIR-KHEIRA-150615.zip,EN-RT-SABASHIRKHEIRA-150615.zip
EN-RT-60-SA-NANDOS-SAKHR-270415.zip,EN-RT-SANANDOSSAKHR-270415.zip
EN-RT-60-SAUDI-CARDRIFTING-SUMMAQAH-150315.zip,EN-RT-SAUDI_CARDRIFTINGSUMMAQAH-150315.zip
EN-RT-60-SAUDI-FOOTBALLMONEY-SUMMAQAH-070415.zip,EN-RT-SAUDI_FOOTBALLMONEYSUMMAQAH-070415.zip
EN-RT-60-SAUDI-FUNERAL-SAKHR-260515.zip,EN-RT-SAUDI_FUNERALSAKHR-260515.zip
EN-RT-60-SAUDI-TURKISHCYCLIST-080415.zip,EN-RT-SAUDI_TURKISHCYCLIST-080415.zip
EN-RT-60-SINGAPORE-AMOSYEE-THOMAS-250615.zip,EN-RT-SINGAPORE_AMOSYEETHOMAS-250615.zip
EN-RT-60-SOTU-SOTUMEMES-TAREK-210115.zip,EN-RT-SOTUSOTUMEMESTAREK-210115.zip
EN-RT-60-SOUTHAFRICA-REACTIONS-KHEIRA-190415.zip,EN-RT-SOUTHAFRICA_REACTIONSKHEIRA-190415.zip
EN-RT-60-SPACEWIFI-SAKHR-160615.zip,EN-RT-SPACE_WIFISAKHR-160615.zip
EN-RT-60-STRAIGHT-OUT-OF-COMPTON-140815.zip,EN-RT-STRAIGHTOUTOFCOMPTON-140815.zip
EN-RT-60-SWITZERLAND-FIFA-SAKHR-270515.zip,EN-RT-SWITZERLAND_FIFASAKHR-270515.zip
