OLD NAME,NEW NAME
ES-RT-ARGENTINA-ARROZCONLECHE-200718.zip,ES-RT-ARGENTINA_ARROZCONLECHE-200718.zip
ES-RT-ARGENTINA-PICHOTBIMBOABORTO-110418.zip,ES-RT-ARGENTINA_PICHOTBIMBOABORTO-110418.zip
ES-RT-ARGENTINA-PROTESTAPOLLERAS-180418.zip,ES-RT-ARGENTINA_PROTESTAPOLLERAS-180418.zip
ES-RT-CHILE-TETASESTROPAJO-160217.zip,ES-RT-CHILE_TETASESTROPAJO-160217.zip
ES-RT-EUA-RACHELMADDOW-200618.zip,ES-RT-EUARACHELMADDOW-200618.zip
ES-RT-MEXICO-ROBOMONTERREY-250418.zip,ES-RT-MEXICO_ROBOMONTERREY-250418.zip
ES-RT-NICARAGUA-4MESADEBATE-230518 .zip,ES-RT-NICARAGUA_4MESADEBATE-230518.zip
ES-RT-PARAGUAY-DIPLOMAPADRE-250618.zip,ES-RT-PARAGUAY_DIPLOMAPADRE-250618.zip
