Old Name,New Name
ES-MEXICO-TRATAREUTERS.zip,ES-RT-MEXICO_TRATAREUTERS-010116.zip
ES-RT-MÉXICO-TAXISTADECENTE-141117.zip,ES-RT-MEXICO_TAXISTADECENTE-141117.zip
