Old Name,New Name
EN-RT-60-CHARLIEHEBDO-FRENCHHYPOCRISY-TAREK-200115.zip,EN-RT-CHARLIEHEBDOFRENCHHYPOCRISYTAREK-200115.zip
EN-RT-60-CHARLIEHEBDO-MUSLIMSPROTEST-TAREK-180115.zip,EN-RT-CHARLIEHEBDOMUSLIMSPROTESTTAREK-180115.zip
EN-RT-60-CHILE-ABORTION-KHEIRA-110515.zip,EN-RT-CHILE_ABORTIONKHEIRA-110515.zip
EN-RT-60-CHILE-PROTEST-TABISH-110615.zip,EN-RT-CHILE_PROTESTTABISH-110615.zip
EN-RT-60-CHILE-QUAKE-170915.zip,EN-RT-CHILE_QUAKE-170915.zip
EN-RT-60-CHILE-VOLCANO-TABISH-230415.zip,EN-RT-CHILE_VOLCANOTABISH-230415.zip
EN-RT-60-CHINA-ESCALATORS-YOMNA-030815.zip,EN-RT-CHINA_ESCALATORSYOMNA-030815.zip
EN-RT-60-CHINA-MH370-060815.zip,EN-RT-CHINA_MH370-060815.zip
EN-RT-60-CHINA-REALITYSHOW-300615.zip,EN-RT-CHINA_REALITYSHOW-300615.zip
EN-RT-60-CHINA-SCHOOLBULLYING-260615.zip,EN-RT-CHINA_SCHOOLBULLYING-260615.zip
EN-RT-60-CHINA-TIANJINBLAST-130815.zip,EN-RT-CHINA_TIANJINBLAST-130815.zip
EN-RT-60-COCACOLA-RESEARCH-100815.zip,EN-RT-COCACOLARESEARCH-100815.zip
EN-RT-60-COLUMBIAUNIV-DIVESTMENTPRISON-THOMAS-240615.zip,EN-RT-COLUMBIAUNIVDIVESTMENTPRISONTHOMAS-240615.zip
EN-RT-60-DENMARK-COPENHAGENATTACKS-TAREK-150215.zip,EN-RT-DENMARK_COPENHAGENATTACKSTAREK-150215.zip
EN-RT-60-EGYPT-ACTIVISTJAILED-YOUSUR-230215.zip,EN-RT-EGYPT_ACTIVISTJAILEDYOUSUR-230215.zip
EN-RT-60-EGYPT-AJEVERDICT-300815.zip,EN-RT-EGYPT_AJEVERDICT-300815.zip
EN-RT-60-EGYPT-LIBYABOMBING-TAREK-160215.zip,EN-RT-EGYPT_LIBYABOMBINGTAREK-160215.zip
